"File"	"Speaker"	"Wordcount"
"DGZ085"	"??"	1
"DGZ085"	"BJ"	10
"DGZ085"	"MK"	54
"DGZ085"	"SD"	19
"DGZ085"	"WE"	2052
"DGZ085"	"X1"	18
"DGZ085"	"X2"	226
"DGZ085"	"X3"	237
"DGZ086"	"??"	15
"DGZ086"	"AN"	181
"DGZ086"	"BT"	465
"DGZ086"	"GL"	18
"DGZ086"	"KI"	325
"DGZ086"	"LI"	74
"DGZ086"	"MK"	493
"DGZ086"	"VV"	384
"DGZ086"	"ZZ"	16
"DGZ087"	"??"	23
"DGZ087"	"AN"	1
"DGZ087"	"BT"	279
"DGZ087"	"GL"	206
"DGZ087"	"KI"	310
"DGZ087"	"LI"	104
"DGZ087"	"MK"	998
"DGZ087"	"VV"	208
"DGZ087"	"ZD"	3
"DGZ087"	"ZZ"	20
"DGZ088"	"CF"	776
"DGZ088"	"SA"	981
"DGZ089"	"CJ"	187
"DGZ089"	"SR"	113
"DGZ090"	"CC"	134
"DGZ090"	"SB"	174
"DGZ094"	"CC"	823
"DGZ094"	"SS"	1130
"DGZ095"	"CC"	505
"DGZ095"	"SV"	827
"DGZ099"	"CL"	865
"DGZ099"	"SV"	1132
"DGZ102"	"CL"	507
"DGZ102"	"SV"	1509
"DGZ103"	"CL"	1122
"DGZ103"	"SV"	984
"DGZ105"	"CG"	260
"DGZ105"	"ST"	565
"DGZ105"	"XX"	60
"DGZ109"	"??"	6
"DGZ109"	"AN"	304
"DGZ109"	"KT"	153
"DGZ109"	"MQ"	809
"DGZ109"	"VL"	713
"DGZ110"	"CL"	383
"DGZ110"	"S1"	236
"DGZ110"	"S2"	37
"DGZ110"	"XX"	3
"DGZ111"	"CD"	249
"DGZ111"	"SF"	389
"DGZ113"	"CL"	80
"DGZ113"	"SR"	140
"DGZ114"	"CG"	1299
"DGZ114"	"SH"	760
"DGZ119"	"??"	4
"DGZ119"	"BB"	247
"DGZ119"	"DV"	71
"DGZ119"	"JN"	7
"DGZ119"	"LC"	347
"DGZ119"	"MG"	561
"DGZ119"	"RR"	259
"DGZ119"	"ST"	865
"DGZ120"	"??"	17
"DGZ120"	"BB"	344
"DGZ120"	"DV"	109
"DGZ120"	"JN"	1
"DGZ120"	"LC"	469
"DGZ120"	"MG"	91
"DGZ120"	"RR"	239
"DGZ120"	"ST"	929
"DGZ121"	"??"	5
"DGZ121"	"BB"	574
"DGZ121"	"DV"	163
"DGZ121"	"LC"	401
"DGZ121"	"MG"	245
"DGZ121"	"RR"	153
"DGZ121"	"ST"	497
"DPC002"	"DS"	777
"DPC002"	"MK"	1232
"DPC003"	"FG"	917
"DPC003"	"MJ"	574
"DPC003"	"RW"	656
"DPC004"	"??"	15
"DPC004"	"BH"	596
"DPC004"	"ED"	189
"DPC004"	"IB"	565
"DPC004"	"NM"	103
"DPC004"	"SS"	15
"DPC004"	"WE"	641
"DPC007"	"LL"	1445
"DPC007"	"MM"	144
"DPC007"	"RR"	1408
"DPC008"	"??"	3
"DPC008"	"AN"	674
"DPC008"	"HH"	617
"DPC008"	"KK"	659
"DPC009"	"??"	1
"DPC009"	"DM"	570
"DPC009"	"KL"	170
"DPC009"	"SG"	808
"DPC009"	"TC"	460
"DPC009"	"XX"	157
"DPC010"	"BN"	1186
"DPC010"	"MJ"	787
"DPC010"	"XX"	29
"DPC012"	"AH"	1030
"DPC012"	"JU"	987
"DPC013"	"??"	4
"DPC013"	"HH"	647
"DPC013"	"RN"	635
"DPC013"	"SU"	492
"DPC013"	"TM"	276
"DPC014"	"DV"	972
"DPC014"	"FR"	406
"DPC014"	"MK"	582
"DPC022"	"FE"	1405
"DPC022"	"MJ"	471
"DPC022"	"PL"	329
"DPC023"	"FI"	1262
"DPC023"	"MD"	1128
"DPC024"	"KA"	775
"DPC024"	"LU"	379
"DPC024"	"TS"	1165
"DPC025"	"BA"	684
"DPC025"	"TR"	1279
"DPC025"	"XJ"	14
"DPC025"	"XX"	942
"DPC028"	"AD"	1237
"DPC028"	"BF"	713
"DPC030"	"AS"	727
"DPC030"	"GG"	1092
"DPC030"	"PT"	159
"DPC032"	"AW"	1585
"DPC032"	"BH"	483
"DPC033"	"FD"	1854
"DPC033"	"MG"	151
"DPC036"	"AN"	1211
"DPC036"	"KI"	822
"DPC037"	"BD"	1247
"DPC037"	"KT"	726
"DPC039"	"LC"	458
"DPC039"	"MG"	900
"DPC039"	"RW"	391
"DPC039"	"XX"	7
"DPC040"	"KA"	950
"DPC040"	"MK"	895
"DPC040"	"SQ"	75
"DPC041"	"FR"	933
"DPC041"	"JM"	1286
"DPC042"	"??"	3
"DPC042"	"AN"	479
"DPC042"	"BT"	616
"DPC042"	"CH"	286
"DPC042"	"DV"	502
"DPC042"	"EL"	488
"DPC043"	"KV"	1232
"DPC043"	"PT"	811
"DPC045"	"AG"	1343
"DPC045"	"BA"	673
"DPC049"	"AL"	1239
"DPC049"	"BT"	745
"DPC049"	"XX"	9
"DPC057"	"JS"	509
"DPC057"	"MK"	1233
"DPC057"	"VC"	226
"DPC057"	"XX"	628
"DPC059"	"AC"	1616
"DPC059"	"BS"	489
"DPC060"	"??"	15
"DPC060"	"JM"	1099
"DPC060"	"VV"	484
"DPC060"	"WC"	319
"DPC061"	"AN"	1126
"DPC061"	"BW"	835
"DPC062"	"AL"	1068
"DPC062"	"BR"	499
"DPC062"	"CH"	144
"DPC062"	"DV"	236
"DPC063"	"FN"	1390
"DPC063"	"MR"	1301
"DPC063"	"XX"	766
"DPC064"	"FN"	877
"DPC064"	"MQ"	1265
"DPC066"	"AL"	118
"DPC066"	"BT"	403
"DPC066"	"CH"	962
"DPC066"	"DN"	775
"DPC067"	"??"	9
"DPC067"	"AN"	1467
"DPC067"	"BU"	508
"DPC067"	"XX"	25
"DPC068"	"??"	2
"DPC068"	"AG"	528
"DPC068"	"FR"	437
"DPC068"	"II"	432
"DPC068"	"JM"	369
"DPC068"	"VV"	233
"DPC069"	"??"	2
"DPC069"	"AG"	476
"DPC069"	"FR"	466
"DPC069"	"II"	417
"DPC069"	"JM"	112
"DPC069"	"VV"	492
"DPC070"	"CR"	1023
"DPC070"	"JM"	742
"DPC070"	"SA"	77
"DPC070"	"XX"	412
"DPC071"	"AY"	1668
"DPC071"	"BE"	305
"DPC071"	"CR"	35
"DPC073"	"AM"	257
"DPC073"	"JG"	621
"DPC073"	"MG"	534
"DPC073"	"TM"	546
"DPC074"	"AD"	1366
"DPC074"	"LE"	809
"DPC074"	"XX"	489
"DPC075"	"FN"	976
"DPC075"	"SA"	160
"DPC075"	"TR"	866
"DPC075"	"UM"	193
"DPC077"	"??"	5
"DPC077"	"CY"	926
"DPC077"	"MK"	1285
"DPC077"	"SH"	551
"DPC077"	"XA"	274
"DPC077"	"XR"	493
